,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,423,607,191,1773,1012,815,14
1,2002,534,714,243,1877,1718,1052,0
2,2003,557,632,220,2022,881,1555,1
3,2004,618,692,225,1861,1081,1437,0
4,2005,571,783,215,1764,665,1650,0
5,2006,457,718,187,1179,852,1248,0
6,2007,523,1097,208,1540,875,1976,0
7,2008,573,1160,207,1705,974,1648,0
8,2009,596,1133,194,1242,501,1460,0
9,2010,686,1464,165,1405,638,1570,0
10,2011,677,1743,152,1467,464,1812,0
11,2012,737,1693,110,1494,382,1965,0
12,2013,923,1516,118,1271,313,2471,0
13,2014,455,1502,95,1102,229,2103,0
14,2015,421,1335,65,1163,20,1900,0
