,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,33,55,0,78,3,11,0
1,2002,38,38,0,68,2,13,0
2,2003,31,51,0,43,0,14,0
3,2004,42,41,0,61,0,4,0
4,2005,35,39,0,67,0,9,0
5,2006,37,51,1,63,2,14,0
6,2007,48,44,0,72,1,20,0
7,2008,42,47,0,72,1,13,0
8,2009,59,28,0,58,6,13,0
9,2010,47,46,0,84,1,12,0
10,2011,42,60,0,51,0,18,0
11,2012,46,58,1,67,2,26,0
12,2013,75,86,0,93,3,29,0
13,2014,83,91,1,121,3,42,0
14,2015,71,128,0,101,2,66,0
