,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
205,JAMMU & KASHMIR,ANANTNAG,2001,6,36,0,53,12,0,0
206,JAMMU & KASHMIR,AWANTIPORA,2001,1,13,0,8,2,0,0
207,JAMMU & KASHMIR,BARAMULLA,2001,28,59,0,93,14,0,0
208,JAMMU & KASHMIR,BORDER,2001,12,10,0,15,5,3,0
209,JAMMU & KASHMIR,BUDGAM,2001,7,34,0,35,9,0,0
210,JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0
211,JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0
212,JAMMU & KASHMIR,DODA,2001,7,15,0,6,2,1,0
213,JAMMU & KASHMIR,GANDERBAL,2001,5,31,0,30,4,0,0
214,JAMMU & KASHMIR,JAMMU,2001,13,43,5,40,94,26,0
215,JAMMU & KASHMIR,KARGIL,2001,0,1,0,1,0,0,0
216,JAMMU & KASHMIR,KATHUA,2001,13,10,3,14,4,1,0
217,JAMMU & KASHMIR,KULGAM,2001,6,31,0,7,11,0,0
218,JAMMU & KASHMIR,KUPWARA,2001,6,29,0,62,2,0,0
219,JAMMU & KASHMIR,LEH,2001,0,1,0,1,0,0,0
220,JAMMU & KASHMIR,POONCH,2001,13,10,0,4,6,2,0
221,JAMMU & KASHMIR,PULWAMA,2001,7,33,0,19,12,0,0
222,JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0
223,JAMMU & KASHMIR,RAJOURI,2001,17,20,3,7,6,6,0
224,JAMMU & KASHMIR,RAMBAN,2001,3,3,0,3,2,0,0
225,JAMMU & KASHMIR,REASI,2001,7,9,0,5,4,0,0
226,JAMMU & KASHMIR,SRINAGAR,2001,8,102,0,207,88,2,0
227,JAMMU & KASHMIR,UDHAMPUR,2001,10,14,2,12,11,9,0
228,JAMMU & KASHMIR,TOTAL,2001,169,504,13,622,288,50,0
921,JAMMU & KASHMIR,ANANTNAG,2002,16,58,0,67,54,0,0
922,JAMMU & KASHMIR,AWANTIPORA,2002,1,15,0,12,3,0,0
923,JAMMU & KASHMIR,BARAMULLA,2002,14,78,0,94,31,0,0
924,JAMMU & KASHMIR,BORDER,2002,5,13,0,8,23,0,0
925,JAMMU & KASHMIR,BUDGAM,2002,12,33,0,80,13,0,0
926,JAMMU & KASHMIR,CRIME JAMMU,2002,0,0,0,0,0,0,0
927,JAMMU & KASHMIR,CRIME SRINAGAR,2002,0,0,0,0,0,0,0
928,JAMMU & KASHMIR,DODA,2002,15,19,0,6,4,0,0
929,JAMMU & KASHMIR,GANDERBAL,2002,7,39,0,61,6,0,0
930,JAMMU & KASHMIR,HANDWARA,2002,0,15,0,25,0,1,0
931,JAMMU & KASHMIR,JAMMU,2002,7,56,10,20,74,17,0
932,JAMMU & KASHMIR,KARGIL,2002,1,2,0,0,0,0,0
933,JAMMU & KASHMIR,KATHUA,2002,11,13,3,11,13,4,0
934,JAMMU & KASHMIR,KULGAM,2002,7,39,0,10,4,0,0
935,JAMMU & KASHMIR,KUPWARA,2002,5,24,0,38,4,0,0
936,JAMMU & KASHMIR,LEH,2002,3,1,0,1,1,0,0
937,JAMMU & KASHMIR,POONCH,2002,9,7,0,4,0,0,0
938,JAMMU & KASHMIR,PULWAMA,2002,12,41,0,51,15,0,0
939,JAMMU & KASHMIR,RAILWAYS,2002,0,0,0,0,3,0,0
940,JAMMU & KASHMIR,RAJOURI,2002,13,13,1,11,5,9,0
941,JAMMU & KASHMIR,RAMBAN,2002,7,6,0,3,3,0,0
942,JAMMU & KASHMIR,REASI,2002,8,11,0,3,1,2,0
943,JAMMU & KASHMIR,SRINAGAR,2002,24,106,0,270,86,12,0
944,JAMMU & KASHMIR,UDHAMPUR,2002,15,7,4,10,25,9,0
945,JAMMU & KASHMIR,TOTAL,2002,192,596,18,785,368,54,0
1644,JAMMU & KASHMIR,ANANTNAG,2003,9,74,0,63,45,0,0
1645,JAMMU & KASHMIR,AWANTIPORA,2003,2,13,0,21,4,0,0
1646,JAMMU & KASHMIR,BARAMULLA,2003,18,74,0,159,23,1,0
1647,JAMMU & KASHMIR,BORDER,2003,9,6,0,8,11,7,0
1648,JAMMU & KASHMIR,BUDGAM,2003,11,40,0,69,12,1,0
1649,JAMMU & KASHMIR,CRIME JAMMU,2003,0,0,0,0,0,0,0
1650,JAMMU & KASHMIR,CRIME SRINAGAR,2003,0,0,0,0,0,0,0
1651,JAMMU & KASHMIR,DODA,2003,6,19,0,8,4,3,0
1652,JAMMU & KASHMIR,GANDERBAL,2003,8,45,0,82,6,1,0
1653,JAMMU & KASHMIR,HANDWARA,2003,2,17,0,24,4,1,0
1654,JAMMU & KASHMIR,JAMMU,2003,20,50,3,12,66,21,0
1655,JAMMU & KASHMIR,KARGIL,2003,1,6,0,0,0,0,0
1656,JAMMU & KASHMIR,KATHUA,2003,13,20,0,8,9,7,0
1657,JAMMU & KASHMIR,KULGAM,2003,5,45,0,23,15,0,0
1658,JAMMU & KASHMIR,KUPWARA,2003,5,27,0,68,4,0,0
1659,JAMMU & KASHMIR,LEH,2003,3,1,0,2,0,0,0
1660,JAMMU & KASHMIR,POONCH,2003,12,11,0,11,3,1,0
1661,JAMMU & KASHMIR,PULWAMA,2003,10,43,2,38,8,0,0
1662,JAMMU & KASHMIR,RAILWAYS,2003,1,0,0,1,0,0,0
1663,JAMMU & KASHMIR,RAJOURI,2003,28,19,2,8,7,14,0
1664,JAMMU & KASHMIR,RAMBAN,2003,10,5,0,8,3,0,0
1665,JAMMU & KASHMIR,REASI,2003,8,5,0,2,3,0,0
1666,JAMMU & KASHMIR,SRINAGAR,2003,23,91,0,249,130,6,0
1667,JAMMU & KASHMIR,UDHAMPUR,2003,7,4,3,11,19,8,0
1668,JAMMU & KASHMIR,TOTAL,2003,211,615,10,875,376,71,0
2372,JAMMU & KASHMIR,ANANTNAG,2004,17,49,0,88,24,0,0
2373,JAMMU & KASHMIR,AWANTIPORA,2004,8,10,0,23,2,0,0
2374,JAMMU & KASHMIR,BARAMULLA,2004,15,74,1,167,36,0,0
2375,JAMMU & KASHMIR,BORDER,2004,4,10,0,10,7,2,0
2376,JAMMU & KASHMIR,BUDGAM,2004,6,54,0,87,14,0,0
2377,JAMMU & KASHMIR,CRIME JAMMU,2004,0,0,0,0,0,0,0
2378,JAMMU & KASHMIR,CRIME SRINAGAR,2004,0,0,0,0,0,0,0
