,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
116,CHHATTISGARH,BALRAMPUR,2001,17,1,1,18,0,7,0
117,CHHATTISGARH,BILASPUR,2001,69,20,7,180,10,94,0
118,CHHATTISGARH,BIZAPUR,2001,4,0,0,1,0,0,0
119,CHHATTISGARH,DANTEWARA,2001,19,8,1,18,1,3,0
120,CHHATTISGARH,DHAMTARI,2001,22,4,1,41,5,6,0
121,CHHATTISGARH,DURG,2001,144,42,12,287,38,231,0
122,CHHATTISGARH,GRP RAIPUR,2001,0,0,0,4,0,1,0
123,CHHATTISGARH,JAGDALPUR,2001,59,4,3,49,2,14,0
124,CHHATTISGARH,JANJGIR,2001,29,6,9,110,13,116,0
125,CHHATTISGARH,JASHPUR,2001,36,2,2,41,1,4,0
126,CHHATTISGARH,KANKER,2001,42,4,1,36,3,10,0
127,CHHATTISGARH,KAWARDHA,2001,35,0,1,45,4,15,0
128,CHHATTISGARH,KORBA,2001,46,13,1,90,7,31,0
129,CHHATTISGARH,KORIYA,2001,34,7,3,102,2,31,0
130,CHHATTISGARH,MAHASAMUND,2001,43,7,6,69,6,21,0
131,CHHATTISGARH,RAIGARH,2001,53,6,2,104,5,22,0
132,CHHATTISGARH,RAIPUR,2001,104,28,16,253,42,121,0
133,CHHATTISGARH,RAJNANDGAON,2001,58,3,3,92,12,51,0
134,CHHATTISGARH,SARGUJA,2001,145,16,1,223,10,62,0
135,CHHATTISGARH,TOTAL,2001,959,171,70,1763,161,840,0
832,CHHATTISGARH,BALRAMPUR,2002,30,2,2,33,3,19,0
833,CHHATTISGARH,BILASPUR,2002,72,15,13,160,10,86,0
834,CHHATTISGARH,BIZAPUR,2002,7,2,0,1,0,0,0
835,CHHATTISGARH,DANTEWARA,2002,9,4,1,19,0,5,0
836,CHHATTISGARH,DHAMTARI,2002,26,0,1,40,9,9,0
837,CHHATTISGARH,DURG,2002,132,23,11,230,33,116,0
838,CHHATTISGARH,GRP RAIPUR,2002,5,0,0,1,0,0,0
839,CHHATTISGARH,JAGDALPUR,2002,46,16,0,46,4,16,0
840,CHHATTISGARH,JANJGIR,2002,42,6,13,99,8,64,0
841,CHHATTISGARH,JASHPUR,2002,35,0,2,16,2,4,0
842,CHHATTISGARH,KABIRDHAM,2002,20,0,0,42,3,25,0
843,CHHATTISGARH,KANKER,2002,37,6,1,33,4,22,0
844,CHHATTISGARH,KORBA,2002,38,3,9,82,10,33,0
845,CHHATTISGARH,KORIYA,2002,58,6,1,72,0,21,0
846,CHHATTISGARH,MAHASAMUND,2002,33,5,0,56,3,14,0
847,CHHATTISGARH,RAIGARH,2002,39,5,4,103,15,30,0
848,CHHATTISGARH,RAIPUR,2002,159,35,20,184,34,106,0
849,CHHATTISGARH,RAJNANDGAON,2002,62,7,6,86,7,41,0
850,CHHATTISGARH,SARGUJA,2002,142,19,1,180,2,42,0
851,CHHATTISGARH,TOTAL,2002,992,154,85,1483,147,653,0
1554,CHHATTISGARH,BALRAMPUR,2003,24,0,3,29,3,15,0
1555,CHHATTISGARH,BILASPUR,2003,49,12,18,165,3,87,0
1556,CHHATTISGARH,BIZAPUR,2003,8,2,0,5,0,1,0
1557,CHHATTISGARH,DANTEWARA,2003,12,3,0,14,0,4,0
1558,CHHATTISGARH,DHAMTARI,2003,32,7,3,71,8,8,0
1559,CHHATTISGARH,DURG,2003,117,17,13,229,31,118,0
1560,CHHATTISGARH,GRP RAIPUR,2003,1,2,0,1,2,1,0
1561,CHHATTISGARH,JAGDALPUR,2003,71,12,0,72,4,8,0
1562,CHHATTISGARH,JANJGIR,2003,47,5,3,84,8,42,0
1563,CHHATTISGARH,JASHPUR,2003,33,3,0,39,1,3,0
1564,CHHATTISGARH,KABIRDHAM,2003,24,2,1,59,4,10,0
1565,CHHATTISGARH,KANKER,2003,29,4,0,30,0,7,0
1566,CHHATTISGARH,KORBA,2003,37,6,4,97,14,40,0
1567,CHHATTISGARH,KORIYA,2003,40,4,0,66,1,24,0
1568,CHHATTISGARH,MAHASAMUND,2003,30,3,2,39,2,24,0
