,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
657,Tripura,DHALAI,2013,17,12,1,38,0,51,0
658,Tripura,GOMATI,2013,31,28,6,45,2,164,0
659,Tripura,GRP,2013,0,0,0,0,0,0,0
660,Tripura,KHOWAI,2013,23,3,4,43,1,42,0
661,Tripura,NORTH,2013,20,9,4,51,0,113,0
662,Tripura,SIPAHIJALA,2013,27,13,1,73,0,118,0
663,Tripura,SOUTH,2013,32,14,5,38,0,93,0
664,Tripura,UNAKOTI,2013,37,16,5,18,1,51,0
665,Tripura,WEST,2013,46,29,3,101,3,195,0
666,Tripura,ZZ TOTAL,2013,233,124,29,407,7,827,0
669,Tripura,Dhalai,2014,34,5,1,49,0,41,0
670,Tripura,Gomati,2014,32,22,9,51,0,135,0
671,Tripura,G. R. P.,2014,0,0,0,2,0,0,0
672,Tripura,Kowai,2014,15,4,8,36,0,25,0
673,Tripura,North,2014,26,12,6,41,0,79,0
674,Tripura,Sipahijala,2014,19,11,1,76,0,86,0
675,Tripura,South,2014,20,8,4,47,0,94,0
676,Tripura,Unakoti,2014,24,11,1,29,2,50,0
677,Tripura,West,2014,69,29,3,161,9,192,0
678,Tripura,Total District(s),2014,239,102,33,492,11,702,0
684,Tripura,Dhalai,2015,26,10,3,38,0,38,0
685,Tripura,Gomati,2015,32,12,6,21,0,102,0
686,Tripura,G. R. P.,2015,0,0,0,0,0,0,0
687,Tripura,Kowai,2015,18,12,3,37,0,27,0
688,Tripura,North,2015,20,17,4,49,0,58,0
689,Tripura,Sipahijala,2015,24,18,3,47,0,72,0
690,Tripura,South,2015,32,13,4,36,1,86,0
691,Tripura,Unakoti,2015,14,9,1,14,2,11,0
692,Tripura,West,2015,47,29,4,110,3,107,0
693,Tripura,Total District(s),2015,213,120,28,352,6,501,0
